OBJECTID,CasosConfirmados0204
1,5
2,7
3,20
4,
5,5
6,
7,4
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,5
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,20
33,
34,
35,34
36,34
37,
38,
39,3
40,5
41,
42,7
43,
44,
45,
46,
47,86
48,
49,8
50,
51,3
52,
53,5
54,
55,79
56,11
57,17
58,5
59,
60,12
61,
62,
63,14
64,
65,
66,
67,127
68,
69,
70,4
71,65
72,
73,49
74,
75,
76,
77,12
78,
79,
80,
81,280
82,52
83,
84,
85,
86,3
87,
88,18
89,3
90,
91,9
92,149
93,
94,
95,
96,
97,5
98,
99,
100,
101,3
102,
103,11
104,4
105,178
106,24
107,
108,7
109,
110,
111,
112,
113,
114,27
115,11
116,31
117,
118,15
119,8
120,32
121,56
122,
123,
124,4
125,
126,
127,
128,
129,
130,
131,
132,3
133,
134,373
135,
136,3
137,3
138,99
139,
140,23
141,3
142,
143,8
144,19
145,594
146,25
147,109
148,
149,7
150,55
151,
152,8
153,37
154,361
155,
156,
157,21
158,9
159,
160,347
161,5
162,
163,5
164,
165,
166,
167,6
168,
169,11
170,
171,
172,29
173,5
174,
175,
176,
177,
178,
179,13
180,21
181,
182,3
183,
184,
185,
186,7
187,
188,7
189,
190,
191,
192,83
193,93
194,
195,5
196,71
197,7
198,10
199,
200,9
201,
202,209
203,48
204,11
205,
206,46
207,
208,
209,6
210,37
211,
212,
213,
214,
215,4
216,9
217,
218,36
219,
220,
221,
222,
223,
224,21
225,556
226,
227,17
228,23
229,
230,
231,5
232,37
233,
234,4
235,
236,
237,3
238,
239,174
240,
241,29
242,6
243,54
244,
245,30
246,
247,4
248,
249,
250,
251,85
252,
253,3
254,
255,9
256,33
257,
258,7
259,4
260,224
261,
262,8
263,
264,
265,
266,
267,
268,
269,4
270,
271,
272,
273,15
274,
275,42
276,6
277,23
278,
279,275
280,
281,
282,
283,34
284,
285,6
286,
287,
288,39
289,
290,30
291,
292,
293,107
294,
295,418
296,
297,
298,
299,124
300,11
301,
302,36
303,
304,4
305,
306,22
307,11
308,
309,
310,
311,
312,
313,
314,
