"dico","cases","recovered","deaths","date"
"0101",42,0,0,2020-04-20 00:00:00
"0102",57,0,0,2020-04-20 00:00:00
"0103",20,0,0,2020-04-20 00:00:00
"0104",30,0,0,2020-04-20 00:00:00
"0105",237,0,0,2020-04-20 00:00:00
"0106",8,0,0,2020-04-20 00:00:00
"0107",56,0,0,2020-04-20 00:00:00
"0108",56,0,0,2020-04-20 00:00:00
"0109",340,0,0,2020-04-20 00:00:00
"0110",91,0,0,2020-04-20 00:00:00
"0111",13,0,0,2020-04-20 00:00:00
"0112",8,0,0,2020-04-20 00:00:00
"0113",150,0,0,2020-04-20 00:00:00
"0114",18,0,0,2020-04-20 00:00:00
"0115",511,0,0,2020-04-20 00:00:00
"0116",52,0,0,2020-04-20 00:00:00
"0117",28,0,0,2020-04-20 00:00:00
"0118",15,0,0,2020-04-20 00:00:00
"0119",92,0,0,2020-04-20 00:00:00
"0202",3,0,0,2020-04-20 00:00:00
"0205",9,0,0,2020-04-20 00:00:00
"0210",28,0,0,2020-04-20 00:00:00
"0213",18,0,0,2020-04-20 00:00:00
"0301",35,0,0,2020-04-20 00:00:00
"0302",174,0,0,2020-04-20 00:00:00
"0303",856,0,0,2020-04-20 00:00:00
"0304",12,0,0,2020-04-20 00:00:00
"0305",13,0,0,2020-04-20 00:00:00
"0306",34,0,0,2020-04-20 00:00:00
"0307",61,0,0,2020-04-20 00:00:00
"0308",401,0,0,2020-04-20 00:00:00
"0309",33,0,0,2020-04-20 00:00:00
"0310",8,0,0,2020-04-20 00:00:00
"0311",26,0,0,2020-04-20 00:00:00
"0312",272,0,0,2020-04-20 00:00:00
"0313",127,0,0,2020-04-20 00:00:00
"0314",53,0,0,2020-04-20 00:00:00
"0401",4,0,0,2020-04-20 00:00:00
"0402",94,0,0,2020-04-20 00:00:00
"0403",5,0,0,2020-04-20 00:00:00
"0405",19,0,0,2020-04-20 00:00:00
"0406",6,0,0,2020-04-20 00:00:00
"0407",16,0,0,2020-04-20 00:00:00
"0409",23,0,0,2020-04-20 00:00:00
"0410",5,0,0,2020-04-20 00:00:00
"0411",8,0,0,2020-04-20 00:00:00
"0412",23,0,0,2020-04-20 00:00:00
"0502",4,0,0,2020-04-20 00:00:00
"0503",6,0,0,2020-04-20 00:00:00
"0509",4,0,0,2020-04-20 00:00:00
"0601",6,0,0,2020-04-20 00:00:00
"0602",43,0,0,2020-04-20 00:00:00
"0603",360,0,0,2020-04-20 00:00:00
"0604",60,0,0,2020-04-20 00:00:00
"0605",18,0,0,2020-04-20 00:00:00
"0606",9,0,0,2020-04-20 00:00:00
"0607",8,0,0,2020-04-20 00:00:00
"0608",3,0,0,2020-04-20 00:00:00
"0609",12,0,0,2020-04-20 00:00:00
"0610",15,0,0,2020-04-20 00:00:00
"0611",10,0,0,2020-04-20 00:00:00
"0613",13,0,0,2020-04-20 00:00:00
"0614",3,0,0,2020-04-20 00:00:00
"0615",18,0,0,2020-04-20 00:00:00
"0616",24,0,0,2020-04-20 00:00:00
"0617",4,0,0,2020-04-20 00:00:00
"0705",17,0,0,2020-04-20 00:00:00
"0711",7,0,0,2020-04-20 00:00:00
"0801",64,0,0,2020-04-20 00:00:00
"0804",3,0,0,2020-04-20 00:00:00
"0805",56,0,0,2020-04-20 00:00:00
"0806",4,0,0,2020-04-20 00:00:00
"0807",3,0,0,2020-04-20 00:00:00
"0808",53,0,0,2020-04-20 00:00:00
"0810",14,0,0,2020-04-20 00:00:00
"0811",33,0,0,2020-04-20 00:00:00
"0813",21,0,0,2020-04-20 00:00:00
"0814",34,0,0,2020-04-20 00:00:00
"0816",14,0,0,2020-04-20 00:00:00
"0902",6,0,0,2020-04-20 00:00:00
"0903",8,0,0,2020-04-20 00:00:00
"0904",3,0,0,2020-04-20 00:00:00
"0906",17,0,0,2020-04-20 00:00:00
