OBJECTID,CasosConfirmados0604
1,4
2,7
3,21
4,
5,6
6,
7,5
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,25
33,
34,
35,54
36,44
37,
38,
39,6
40,8
41,
42,9
43,
44,
45,
46,
47,125
48,
49,8
50,
51,4
52,
53,22
54,
55,107
56,21
57,18
58,11
59,3
60,21
61,
62,
63,16
64,
65,
66,
67,142
68,
69,
70,7
71,93
72,
73,54
74,4
75,3
76,
77,23
78,3
79,
80,
81,358
82,65
83,5
84,3
85,
86,7
87,
88,22
89,3
90,
91,14
92,197
93,
94,
95,5
96,
97,8
98,
99,
100,
101,6
102,
103,16
104,3
105,222
106,29
107,
108,10
109,
110,
111,
112,
113,
114,37
115,14
116,36
117,
118,15
119,12
120,39
121,94
122,
123,
124,9
125,
126,3
127,
128,
129,
130,
131,
132,4
133,
134,489
135,
136,3
137,5
138,131
139,
140,54
141,3
142,3
143,9
144,22
145,699
146,39
147,130
148,
149,7
150,87
151,
152,10
153,42
154,444
155,
156,
157,28
158,10
159,
160,400
161,8
162,
163,8
164,
165,
166,
167,6
168,
169,14
170,
171,3
172,32
173,6
174,
175,
176,
177,
178,
179,14
180,24
181,
182,
183,
184,
185,
186,6
187,
188,9
189,
190,
191,
192,95
193,125
194,
195,9
196,86
197,7
198,11
199,3
200,15
201,
202,224
203,92
204,11
205,
206,96
207,5
208,
209,7
210,53
211,
212,
213,
214,
215,6
216,9
217,
218,35
219,
220,7
221,
222,
223,
224,24
225,689
226,
227,21
228,30
229,
230,
231,8
232,45
233,
234,8
235,
236,
237,4
238,
239,224
240,
241,38
242,7
243,82
244,
245,35
246,
247,6
248,
249,
250,
251,102
252,
253,4
254,
255,12
256,37
257,5
258,11
259,3
260,278
261,
262,8
263,
264,
265,
266,
267,24
268,3
269,5
270,
271,12
272,4
273,22
274,
275,56
276,8
277,36
278,4
279,364
280,3
281,
282,
283,68
284,
285,9
286,
287,
288,47
289,3
290,36
291,
292,
293,145
294,
295,518
296,
297,3
298,3
299,129
300,15
301,
302,44
303,
304,7
305,9
306,33
307,15
308,
309,
310,
311,
312,
313,
314,
