OBJECTID,CasosConfirmados0704
1,4
2,7
3,21
4,
5,6
6,
7,5
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,26
33,
34,
35,54
36,46
37,
38,
39,7
40,7
41,
42,10
43,
44,
45,
46,
47,130
48,
49,8
50,
51,6
52,
53,22
54,
55,108
56,27
57,19
58,12
59,4
60,26
61,
62,
63,17
64,
65,
66,
67,151
68,
69,
70,7
71,103
72,
73,56
74,4
75,3
76,
77,24
78,4
79,
80,
81,407
82,71
83,5
84,3
85,
86,8
87,
88,22
89,4
90,
91,15
92,203
93,
94,
95,5
96,
97,8
98,
99,
100,
101,7
102,
103,16
104,4
105,233
106,36
107,
108,10
109,
110,
111,
112,
113,
114,37
115,16
116,37
117,
118,15
119,13
120,39
121,108
122,
123,
124,9
125,
126,3
127,
128,
129,
130,
131,
132,4
133,
134,528
135,
136,3
137,3
138,147
139,
140,86
141,3
142,3
143,10
144,25
145,754
146,41
147,134
148,4
149,7
150,92
151,
152,13
153,45
154,465
155,
156,
157,30
158,11
159,
160,416
161,10
162,
163,9
164,
165,
166,
167,7
168,
169,14
170,
171,3
172,35
173,7
174,
175,
176,
177,
178,
179,14
180,26
181,
182,
183,
184,
185,
186,6
187,
188,9
189,
190,
191,
192,99
193,142
194,
195,9
196,92
197,7
198,13
199,
200,19
201,
202,247
203,112
204,11
205,
206,110
207,6
208,
209,8
210,56
211,
212,
213,
214,
215,7
216,9
217,
218,34
219,
220,12
221,
222,
223,
224,25
225,730
226,
227,23
228,33
229,
230,
231,8
232,52
233,
234,8
235,
236,
237,5
238,
239,231
240,
241,42
242,7
243,93
244,
245,35
246,
247,6
248,
249,
250,
251,109
252,
253,6
254,
255,13
256,40
257,5
258,11
259,4
260,299
261,
262,8
263,
264,
265,
266,
267,24
268,4
269,6
270,
271,18
272,7
273,26
274,
275,57
276,9
277,39
278,4
279,387
280,4
281,
282,
283,75
284,
285,9
286,
287,
288,49
289,5
290,42
291,
292,
293,150
294,
295,551
296,
297,3
298,3
299,132
300,15
301,
302,48
303,
304,7
305,9
306,36
307,17
308,
309,
310,
311,
312,
313,
314,
