"dico","cases","recovered","deaths","date"
"0101",44,0,0,2020-04-30 00:00:00
"0102",82,0,0,2020-04-30 00:00:00
"0103",37,0,0,2020-04-30 00:00:00
"0104",34,0,0,2020-04-30 00:00:00
"0105",273,0,0,2020-04-30 00:00:00
"0106",14,0,0,2020-04-30 00:00:00
"0107",74,0,0,2020-04-30 00:00:00
"0108",64,0,0,2020-04-30 00:00:00
"0109",396,0,0,2020-04-30 00:00:00
"0110",99,0,0,2020-04-30 00:00:00
"0111",17,0,0,2020-04-30 00:00:00
"0112",9,0,0,2020-04-30 00:00:00
"0113",170,0,0,2020-04-30 00:00:00
"0114",24,0,0,2020-04-30 00:00:00
"0115",557,0,0,2020-04-30 00:00:00
"0116",62,0,0,2020-04-30 00:00:00
"0117",32,0,0,2020-04-30 00:00:00
"0118",19,0,0,2020-04-30 00:00:00
"0119",135,0,0,2020-04-30 00:00:00
"0202",8,0,0,2020-04-30 00:00:00
"0205",10,0,0,2020-04-30 00:00:00
"0207",3,0,0,2020-04-30 00:00:00
"0210",54,0,0,2020-04-30 00:00:00
"0211",4,0,0,2020-04-30 00:00:00
"0213",18,0,0,2020-04-30 00:00:00
"0301",43,0,0,2020-04-30 00:00:00
"0302",209,0,0,2020-04-30 00:00:00
"0303",1063,0,0,2020-04-30 00:00:00
"0304",17,0,0,2020-04-30 00:00:00
"0305",18,0,0,2020-04-30 00:00:00
"0306",37,0,0,2020-04-30 00:00:00
"0307",92,0,0,2020-04-30 00:00:00
"0308",583,0,0,2020-04-30 00:00:00
"0309",50,0,0,2020-04-30 00:00:00
"0310",8,0,0,2020-04-30 00:00:00
"0311",28,0,0,2020-04-30 00:00:00
"0312",345,0,0,2020-04-30 00:00:00
"0313",156,0,0,2020-04-30 00:00:00
"0314",93,0,0,2020-04-30 00:00:00
"0401",5,0,0,2020-04-30 00:00:00
"0402",108,0,0,2020-04-30 00:00:00
"0403",5,0,0,2020-04-30 00:00:00
"0405",21,0,0,2020-04-30 00:00:00
"0406",7,0,0,2020-04-30 00:00:00
"0407",17,0,0,2020-04-30 00:00:00
"0408",3,0,0,2020-04-30 00:00:00
"0409",23,0,0,2020-04-30 00:00:00
"0410",5,0,0,2020-04-30 00:00:00
"0411",8,0,0,2020-04-30 00:00:00
"0412",26,0,0,2020-04-30 00:00:00
"0502",5,0,0,2020-04-30 00:00:00
"0503",7,0,0,2020-04-30 00:00:00
"0504",3,0,0,2020-04-30 00:00:00
"0509",4,0,0,2020-04-30 00:00:00
"0601",8,0,0,2020-04-30 00:00:00
"0602",51,0,0,2020-04-30 00:00:00
"0603",408,0,0,2020-04-30 00:00:00
"0604",64,0,0,2020-04-30 00:00:00
"0605",27,0,0,2020-04-30 00:00:00
"0606",10,0,0,2020-04-30 00:00:00
"0607",13,0,0,2020-04-30 00:00:00
"0608",4,0,0,2020-04-30 00:00:00
"0609",14,0,0,2020-04-30 00:00:00
"0610",15,0,0,2020-04-30 00:00:00
"0611",10,0,0,2020-04-30 00:00:00
"0613",16,0,0,2020-04-30 00:00:00
"0614",3,0,0,2020-04-30 00:00:00
"0615",21,0,0,2020-04-30 00:00:00
"0616",31,0,0,2020-04-30 00:00:00
"0617",4,0,0,2020-04-30 00:00:00
"0705",19,0,0,2020-04-30 00:00:00
"0706",7,0,0,2020-04-30 00:00:00
"0709",6,0,0,2020-04-30 00:00:00
"0711",5,0,0,2020-04-30 00:00:00
"0712",6,0,0,2020-04-30 00:00:00
"0801",70,0,0,2020-04-30 00:00:00
"0804",3,0,0,2020-04-30 00:00:00
"0805",62,0,0,2020-04-30 00:00:00
"0807",3,0,0,2020-04-30 00:00:00
"0808",61,0,0,2020-04-30 00:00:00
"0810",13,0,0,2020-04-30 00:00:00
"0811",35,0,0,2020-04-30 00:00:00
"0813",22,0,0,2020-04-30 00:00:00
"0814",30,0,0,2020-04-30 00:00:00
"0816",12,0,0,2020-04-30 00:00:00
"0902",6,0,0,2020-04-30 00:00:00
"0903",9,0,0,2020-04-30 00:00:00
"0904",3,0,0,2020-04-30 00:00:00
"0906",17,0,0,2020-04-30 00:00:00
"0907",20,0,0,2020-04-30 00:00:00
"0908",3,0,0,2020-04-30 00:00:00
"0910",22,0,0,2020-04-30 00:00:00
"0912",13,0,0,2020-04-30 00:00:00
"0913",15,0,0,2020-04-30 00:00:00
"0914",72,0,0,2020-04-30 00:00:00
"1001",27,0,0,2020-04-30 00:00:00
"1002",24,0,0,2020-04-30 00:00:00
"1003",5,0,0,2020-04-30 00:00:00
"1004",4,0,0,2020-04-30 00:00:00
"1005",3,0,0,2020-04-30 00:00:00
"1006",19,0,0,2020-04-30 00:00:00
"1008",4,0,0,2020-04-30 00:00:00
"1009",70,0,0,2020-04-30 00:00:00
"1010",16,0,0,2020-04-30 00:00:00
"1013",3,0,0,2020-04-30 00:00:00
"1014",10,0,0,2020-04-30 00:00:00
"1015",52,0,0,2020-04-30 00:00:00
"1016",8,0,0,2020-04-30 00:00:00
"1101",18,0,0,2020-04-30 00:00:00
"1102",5,0,0,2020-04-30 00:00:00
"1103",10,0,0,2020-04-30 00:00:00
"1104",5,0,0,2020-04-30 00:00:00
"1105",332,0,0,2020-04-30 00:00:00
"1106",1465,0,0,2020-04-30 00:00:00
"1107",386,0,0,2020-04-30 00:00:00
"1108",5,0,0,2020-04-30 00:00:00
"1109",70,0,0,2020-04-30 00:00:00
"1110",215,0,0,2020-04-30 00:00:00
"1111",586,0,0,2020-04-30 00:00:00
"1113",29,0,0,2020-04-30 00:00:00
"1114",174,0,0,2020-04-30 00:00:00
"1115",295,0,0,2020-04-30 00:00:00
"1116",221,0,0,2020-04-30 00:00:00
"1207",5,0,0,2020-04-30 00:00:00
"1213",3,0,0,2020-04-30 00:00:00
"1214",5,0,0,2020-04-30 00:00:00
"1301",82,0,0,2020-04-30 00:00:00
"1302",14,0,0,2020-04-30 00:00:00
"1303",338,0,0,2020-04-30 00:00:00
"1304",1000,0,0,2020-04-30 00:00:00
"1305",206,0,0,2020-04-30 00:00:00
"1306",863,0,0,2020-04-30 00:00:00
"1307",65,0,0,2020-04-30 00:00:00
"1308",1127,0,0,2020-04-30 00:00:00
"1309",261,0,0,2020-04-30 00:00:00
"1310",294,0,0,2020-04-30 00:00:00
"1311",140,0,0,2020-04-30 00:00:00
"1312",1219,0,0,2020-04-30 00:00:00
"1313",124,0,0,2020-04-30 00:00:00
"1314",344,0,0,2020-04-30 00:00:00
"1315",724,0,0,2020-04-30 00:00:00
"1316",245,0,0,2020-04-30 00:00:00
"1317",1374,0,0,2020-04-30 00:00:00
"1318",137,0,0,2020-04-30 00:00:00
"1401",8,0,0,2020-04-30 00:00:00
"1402",7,0,0,2020-04-30 00:00:00
"1403",14,0,0,2020-04-30 00:00:00
"1404",8,0,0,2020-04-30 00:00:00
"1405",28,0,0,2020-04-30 00:00:00
"1406",27,0,0,2020-04-30 00:00:00
"1407",9,0,0,2020-04-30 00:00:00
"1409",36,0,0,2020-04-30 00:00:00
"1410",6,0,0,2020-04-30 00:00:00
"1414",15,0,0,2020-04-30 00:00:00
"1415",8,0,0,2020-04-30 00:00:00
"1416",74,0,0,2020-04-30 00:00:00
"1418",11,0,0,2020-04-30 00:00:00
"1419",11,0,0,2020-04-30 00:00:00
"1420",3,0,0,2020-04-30 00:00:00
"1421",28,0,0,2020-04-30 00:00:00
"1501",4,0,0,2020-04-30 00:00:00
"1502",14,0,0,2020-04-30 00:00:00
"1503",229,0,0,2020-04-30 00:00:00
"1504",92,0,0,2020-04-30 00:00:00
"1505",7,0,0,2020-04-30 00:00:00
"1506",68,0,0,2020-04-30 00:00:00
"1507",46,0,0,2020-04-30 00:00:00
"1508",18,0,0,2020-04-30 00:00:00
"1509",14,0,0,2020-04-30 00:00:00
"1510",165,0,0,2020-04-30 00:00:00
"1511",19,0,0,2020-04-30 00:00:00
"1512",60,0,0,2020-04-30 00:00:00
"1601",66,0,0,2020-04-30 00:00:00
"1602",15,0,0,2020-04-30 00:00:00
"1603",50,0,0,2020-04-30 00:00:00
"1604",92,0,0,2020-04-30 00:00:00
"1605",7,0,0,2020-04-30 00:00:00
"1606",6,0,0,2020-04-30 00:00:00
"1607",23,0,0,2020-04-30 00:00:00
"1608",7,0,0,2020-04-30 00:00:00
"1609",158,0,0,2020-04-30 00:00:00
"1610",7,0,0,2020-04-30 00:00:00
"1701",4,0,0,2020-04-30 00:00:00
"1703",25,0,0,2020-04-30 00:00:00
"1707",17,0,0,2020-04-30 00:00:00
"1708",51,0,0,2020-04-30 00:00:00
"1709",3,0,0,2020-04-30 00:00:00
"1710",7,0,0,2020-04-30 00:00:00
"1712",6,0,0,2020-04-30 00:00:00
"1713",3,0,0,2020-04-30 00:00:00
"1714",147,0,0,2020-04-30 00:00:00
"1802",12,0,0,2020-04-30 00:00:00
"1803",102,0,0,2020-04-30 00:00:00
"1804",10,0,0,2020-04-30 00:00:00
"1805",33,0,0,2020-04-30 00:00:00
"1806",71,0,0,2020-04-30 00:00:00
"1807",12,0,0,2020-04-30 00:00:00
"1808",7,0,0,2020-04-30 00:00:00
"1809",15,0,0,2020-04-30 00:00:00
"1810",9,0,0,2020-04-30 00:00:00
"1813",62,0,0,2020-04-30 00:00:00
"1814",9,0,0,2020-04-30 00:00:00
"1816",6,0,0,2020-04-30 00:00:00
"1817",7,0,0,2020-04-30 00:00:00
"1818",4,0,0,2020-04-30 00:00:00
"1821",12,0,0,2020-04-30 00:00:00
"1823",80,0,0,2020-04-30 00:00:00
"1824",8,0,0,2020-04-30 00:00:00
"3101",6,0,0,2020-04-30 00:00:00
"3102",34,0,0,2020-04-30 00:00:00
"3103",30,0,0,2020-04-30 00:00:00
"3105",6,0,0,2020-04-30 00:00:00
"3108",5,0,0,2020-04-30 00:00:00
"3201",5,0,0,2020-04-30 00:00:00
"4201",10,0,0,2020-04-30 00:00:00
"4203",8,0,0,2020-04-30 00:00:00
"4302",7,0,0,2020-04-30 00:00:00
"4502",5,0,0,2020-04-30 00:00:00
"4602",5,0,0,2020-04-30 00:00:00
"4603",3,0,0,2020-04-30 00:00:00
"4701",6,0,0,2020-04-30 00:00:00
