OBJECTID,CasosConfirmados0504
1,4
2,7
3,20
4,
5,6
6,
7,5
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,24
33,
34,
35,54
36,40
37,
38,
39,5
40,7
41,
42,9
43,
44,
45,
46,
47,121
48,
49,8
50,
51,3
52,
53,22
54,
55,99
56,21
57,18
58,11
59,
60,21
61,
62,
63,15
64,
65,
66,
67,141
68,
69,
70,7
71,90
72,
73,54
74,4
75,3
76,
77,23
78,3
79,
80,
81,349
82,64
83,5
84,
85,
86,7
87,
88,22
89,3
90,
91,12
92,190
93,
94,
95,4
96,
97,8
98,
99,
100,
101,6
102,
103,16
104,3
105,216
106,29
107,
108,9
109,
110,
111,
112,
113,
114,31
115,14
116,36
117,
118,15
119,12
120,37
121,91
122,
123,
124,9
125,
126,
127,
128,
129,
130,
131,
132,4
133,
134,478
135,
136,3
137,4
138,127
139,
140,54
141,3
142,3
143,9
144,22
145,681
146,33
147,131
148,
149,7
150,81
151,
152,10
153,42
154,422
155,
156,
157,27
158,10
159,
160,395
161,8
162,
163,7
164,
165,
166,
167,6
168,
169,14
170,
171,3
172,31
173,6
174,
175,
176,
177,
178,
179,14
180,23
181,
182,
183,
184,
185,
186,6
187,
188,9
189,
190,
191,
192,95
193,120
194,
195,7
196,84
197,7
198,11
199,
200,15
201,
202,238
203,84
204,11
205,
206,91
207,3
208,
209,7
210,49
211,
212,
213,
214,
215,5
216,9
217,
218,35
219,
220,6
221,
222,
223,
224,23
225,660
226,
227,21
228,30
229,
230,
231,8
232,45
233,
234,9
235,
236,
237,4
238,
239,216
240,
241,38
242,6
243,73
244,
245,32
246,
247,6
248,
249,
250,
251,101
252,
253,4
254,
255,13
256,37
257,5
258,10
259,4
260,269
261,
262,8
263,
264,
265,
266,
267,11
268,
269,5
270,
271,
272,4
273,21
274,
275,48
276,8
277,33
278,4
279,344
280,3
281,
282,
283,49
284,
285,9
286,
287,
288,47
289,3
290,36
291,
292,
293,143
294,
295,499
296,
297,3
298,3
299,129
300,15
301,
302,43
303,
304,6
305,9
306,33
307,15
308,
309,
310,
311,
312,
313,
314,
