OBJECTID,CasosConfirmados0804
1,4
2,7
3,21
4,
5,6
6,
7,5
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,3
32,26
33,
34,
35,54
36,45
37,
38,3
39,7
40,7
41,
42,10
43,
44,
45,
46,
47,134
48,
49,8
50,
51,6
52,
53,22
54,
55,113
56,27
57,19
58,13
59,4
60,26
61,
62,
63,17
64,
65,
66,
67,152
68,
69,
70,7
71,107
72,
73,57
74,4
75,5
76,
77,25
78,4
79,
80,
81,423
82,71
83,5
84,3
85,
86,8
87,
88,24
89,4
90,4
91,16
92,218
93,
94,
95,5
96,
97,18
98,
99,
100,
101,7
102,
103,16
104,4
105,237
106,36
107,
108,11
109,3
110,
111,
112,
113,
114,37
115,16
116,39
117,
118,17
119,13
120,39
121,111
122,
123,
124,10
125,
126,3
127,
128,
129,
130,
131,
132,5
133,
134,556
135,
136,3
137,3
138,149
139,
140,86
141,3
142,3
143,10
144,25
145,773
146,41
147,138
148,5
149,7
150,93
151,
152,13
153,46
154,425
155,
156,
157,30
158,11
159,
160,425
161,10
162,
163,12
164,
165,
166,
167,7
168,
169,15
170,
171,3
172,38
173,9
174,
175,
176,
177,
178,
179,14
180,26
181,
182,
183,
184,
185,
186,6
187,
188,100
189,
190,
191,
192,
193,146
194,
195,9
196,94
197,8
198,13
199,
200,19
201,
202,273
203,113
204,11
205,
206,113
207,6
208,
209,8
210,56
211,
212,
213,
214,
215,7
216,9
217,
218,34
219,
220,12
221,
222,
223,
224,25
225,750
226,
227,23
228,34
229,
230,
231,8
232,52
233,
234,8
235,
236,
237,5
238,
239,233
240,
241,42
242,8
243,94
244,
245,36
246,
247,6
248,
249,
250,
251,113
252,
253,6
254,
255,13
256,43
257,5
258,10
259,4
260,310
261,
262,8
263,
264,
265,
266,
267,24
268,4
269,7
270,
271,18
272,7
273,28
274,4
275,59
276,9
277,40
278,5
279,397
280,4
281,
282,
283,79
284,
285,11
286,
287,
288,50
289,5
290,44
291,
292,
293,154
294,
295,576
296,
297,3
298,3
299,132
300,15
301,
302,49
303,
304,7
305,9
306,37
307,17
308,
309,
310,
311,
312,
313,
314,
