"dico","cases","recovered","deaths","date"
"0101",65,0,0,2020-05-31 00:00:00
"0102",89,0,0,2020-05-31 00:00:00
"0103",43,0,0,2020-05-31 00:00:00
"0104",41,0,0,2020-05-31 00:00:00
"0105",336,0,0,2020-05-31 00:00:00
"0106",20,0,0,2020-05-31 00:00:00
"0107",91,0,0,2020-05-31 00:00:00
"0108",99,0,0,2020-05-31 00:00:00
"0109",481,0,0,2020-05-31 00:00:00
"0110",133,0,0,2020-05-31 00:00:00
"0111",18,0,0,2020-05-31 00:00:00
"0112",17,0,0,2020-05-31 00:00:00
"0113",209,0,0,2020-05-31 00:00:00
"0114",39,0,0,2020-05-31 00:00:00
"0115",662,0,0,2020-05-31 00:00:00
"0116",77,0,0,2020-05-31 00:00:00
"0117",43,0,0,2020-05-31 00:00:00
"0118",22,0,0,2020-05-31 00:00:00
"0119",155,0,0,2020-05-31 00:00:00
"0202",8,0,0,2020-05-31 00:00:00
"0205",15,0,0,2020-05-31 00:00:00
"0207",4,0,0,2020-05-31 00:00:00
"0210",71,0,0,2020-05-31 00:00:00
"0211",10,0,0,2020-05-31 00:00:00
"0213",14,0,0,2020-05-31 00:00:00
"0301",78,0,0,2020-05-31 00:00:00
"0302",301,0,0,2020-05-31 00:00:00
"0303",1225,0,0,2020-05-31 00:00:00
"0304",18,0,0,2020-05-31 00:00:00
"0305",23,0,0,2020-05-31 00:00:00
"0306",47,0,0,2020-05-31 00:00:00
"0307",121,0,0,2020-05-31 00:00:00
"0308",714,0,0,2020-05-31 00:00:00
"0309",61,0,0,2020-05-31 00:00:00
"0310",10,0,0,2020-05-31 00:00:00
"0311",44,0,0,2020-05-31 00:00:00
"0312",400,0,0,2020-05-31 00:00:00
"0313",233,0,0,2020-05-31 00:00:00
"0314",139,0,0,2020-05-31 00:00:00
"0401",6,0,0,2020-05-31 00:00:00
"0402",120,0,0,2020-05-31 00:00:00
"0403",6,0,0,2020-05-31 00:00:00
"0405",22,0,0,2020-05-31 00:00:00
"0406",10,0,0,2020-05-31 00:00:00
"0407",21,0,0,2020-05-31 00:00:00
"0408",5,0,0,2020-05-31 00:00:00
"0409",23,0,0,2020-05-31 00:00:00
"0410",4,0,0,2020-05-31 00:00:00
"0411",11,0,0,2020-05-31 00:00:00
"0412",30,0,0,2020-05-31 00:00:00
"0502",16,0,0,2020-05-31 00:00:00
"0503",7,0,0,2020-05-31 00:00:00
"0504",5,0,0,2020-05-31 00:00:00
"0509",4,0,0,2020-05-31 00:00:00
"0601",8,0,0,2020-05-31 00:00:00
"0602",71,0,0,2020-05-31 00:00:00
"0603",584,0,0,2020-05-31 00:00:00
"0604",155,0,0,2020-05-31 00:00:00
"0605",34,0,0,2020-05-31 00:00:00
"0606",10,0,0,2020-05-31 00:00:00
"0607",20,0,0,2020-05-31 00:00:00
"0608",6,0,0,2020-05-31 00:00:00
"0609",17,0,0,2020-05-31 00:00:00
"0610",30,0,0,2020-05-31 00:00:00
"0611",27,0,0,2020-05-31 00:00:00
"0613",22,0,0,2020-05-31 00:00:00
