OBJECTID,CasosConfirmados0404
1,4
2,7
3,20
4,
5,6
6,
7,4
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,7
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,24
33,
34,
35,53
36,39
37,
38,
39,5
40,7
41,
42,9
43,
44,
45,
46,
47,111
48,
49,8
50,
51,3
52,
53,22
54,
55,91
56,15
57,17
58,10
59,
60,19
61,
62,
63,15
64,
65,
66,
67,140
68,
69,
70,5
71,83
72,
73,54
74,4
75,3
76,
77,22
78,3
79,
80,
81,333
82,52
83,4
84,
85,
86,6
87,
88,22
89,3
90,
91,10
92,187
93,
94,
95,3
96,
97,6
98,
99,
100,
101,4
102,
103,13
104,3
105,216
106,29
107,
108,9
109,
110,
111,
112,
113,
114,28
115,14
116,34
117,
118,15
119,10
120,36
121,72
122,
123,
124,9
125,
126,
127,
128,
129,
130,
131,
132,4
133,
134,447
135,
136,3
137,4
138,120
139,
140,45
141,
142,
143,8
144,22
145,654
146,26
147,126
148,
149,7
150,64
151,
152,8
153,39
154,404
155,
156,
157,26
158,9
159,
160,386
161,7
162,
163,7
164,
165,
166,
167,6
168,
169,12
170,
171,
172,30
173,6
174,
175,
176,
177,
178,
179,14
180,22
181,
182,
183,
184,
185,
186,6
187,
188,9
189,
190,
191,
192,93
193,116
194,
195,7
196,82
197,7
198,11
199,
200,14
201,
202,222
203,69
204,11
205,
206,66
207,3
208,
209,7
210,42
211,
212,
213,
214,
215,5
216,9
217,
218,35
219,
220,5
221,
222,
223,
224,22
225,643
226,
227,21
228,30
229,
230,
231,7
232,42
233,
234,9
235,
236,
237,4
238,
239,212
240,
241,38
242,6
243,64
244,
245,32
246,
247,6
248,
249,
250,
251,96
252,
253,3
254,
255,12
256,36
257,4
258,10
259,4
260,254
261,
262,8
263,
264,
265,
266,
267,6
268,
269,4
270,
271,
272,4
273,19
274,
275,43
276,7
277,31
278,3
279,320
280,
281,
282,
283,39
284,
285,8
286,
287,
288,47
289,
290,35
291,
292,
293,121
294,
295,468
296,
297,3
298,3
299,127
300,15
301,
302,41
303,
304,4
305,5
306,29
307,12
308,
309,
310,
311,
312,
313,
314,
