"dico","cases","recovered","deaths","date"
"0101",40,0,0,2020-04-21 00:00:00
"0102",58,0,0,2020-04-21 00:00:00
"0103",23,0,0,2020-04-21 00:00:00
"0104",30,0,0,2020-04-21 00:00:00
"0105",236,0,0,2020-04-21 00:00:00
"0106",11,0,0,2020-04-21 00:00:00
"0107",60,0,0,2020-04-21 00:00:00
"0108",52,0,0,2020-04-21 00:00:00
"0109",339,0,0,2020-04-21 00:00:00
"0110",90,0,0,2020-04-21 00:00:00
"0111",13,0,0,2020-04-21 00:00:00
"0112",8,0,0,2020-04-21 00:00:00
"0113",147,0,0,2020-04-21 00:00:00
"0114",17,0,0,2020-04-21 00:00:00
"0115",516,0,0,2020-04-21 00:00:00
"0116",53,0,0,2020-04-21 00:00:00
"0117",28,0,0,2020-04-21 00:00:00
"0118",16,0,0,2020-04-21 00:00:00
"0119",83,0,0,2020-04-21 00:00:00
"0202",3,0,0,2020-04-21 00:00:00
"0205",9,0,0,2020-04-21 00:00:00
"0207",3,0,0,2020-04-21 00:00:00
"0210",29,0,0,2020-04-21 00:00:00
"0213",18,0,0,2020-04-21 00:00:00
"0301",38,0,0,2020-04-21 00:00:00
"0302",179,0,0,2020-04-21 00:00:00
"0303",902,0,0,2020-04-21 00:00:00
"0304",10,0,0,2020-04-21 00:00:00
"0305",13,0,0,2020-04-21 00:00:00
"0306",36,0,0,2020-04-21 00:00:00
"0307",63,0,0,2020-04-21 00:00:00
"0308",419,0,0,2020-04-21 00:00:00
"0309",32,0,0,2020-04-21 00:00:00
"0310",8,0,0,2020-04-21 00:00:00
"0311",25,0,0,2020-04-21 00:00:00
"0312",288,0,0,2020-04-21 00:00:00
"0313",131,0,0,2020-04-21 00:00:00
"0314",60,0,0,2020-04-21 00:00:00
"0401",4,0,0,2020-04-21 00:00:00
"0402",98,0,0,2020-04-21 00:00:00
"0403",5,0,0,2020-04-21 00:00:00
"0405",19,0,0,2020-04-21 00:00:00
"0406",7,0,0,2020-04-21 00:00:00
"0407",16,0,0,2020-04-21 00:00:00
"0409",20,0,0,2020-04-21 00:00:00
"0410",5,0,0,2020-04-21 00:00:00
"0411",7,0,0,2020-04-21 00:00:00
"0412",24,0,0,2020-04-21 00:00:00
"0502",5,0,0,2020-04-21 00:00:00
"0503",6,0,0,2020-04-21 00:00:00
"0509",4,0,0,2020-04-21 00:00:00
"0601",6,0,0,2020-04-21 00:00:00
"0602",39,0,0,2020-04-21 00:00:00
"0603",360,0,0,2020-04-21 00:00:00
"0604",57,0,0,2020-04-21 00:00:00
"0605",17,0,0,2020-04-21 00:00:00
"0606",9,0,0,2020-04-21 00:00:00
"0607",8,0,0,2020-04-21 00:00:00
"0608",3,0,0,2020-04-21 00:00:00
"0609",12,0,0,2020-04-21 00:00:00
"0610",16,0,0,2020-04-21 00:00:00
"0611",11,0,0,2020-04-21 00:00:00
"0613",13,0,0,2020-04-21 00:00:00
"0614",3,0,0,2020-04-21 00:00:00
"0615",18,0,0,2020-04-21 00:00:00
"0616",32,0,0,2020-04-21 00:00:00
"0617",4,0,0,2020-04-21 00:00:00
"0705",19,0,0,2020-04-21 00:00:00
"0709",3,0,0,2020-04-21 00:00:00
"0711",7,0,0,2020-04-21 00:00:00
"0801",71,0,0,2020-04-21 00:00:00
"0804",3,0,0,2020-04-21 00:00:00
"0805",54,0,0,2020-04-21 00:00:00
"0806",5,0,0,2020-04-21 00:00:00
"0807",4,0,0,2020-04-21 00:00:00
"0808",60,0,0,2020-04-21 00:00:00
"0810",13,0,0,2020-04-21 00:00:00
"0811",33,0,0,2020-04-21 00:00:00
"0813",21,0,0,2020-04-21 00:00:00
"0814",32,0,0,2020-04-21 00:00:00
"0816",14,0,0,2020-04-21 00:00:00
"0902",6,0,0,2020-04-21 00:00:00
"0903",9,0,0,2020-04-21 00:00:00
"0904",3,0,0,2020-04-21 00:00:00
"0906",15,0,0,2020-04-21 00:00:00
"0907",19,0,0,2020-04-21 00:00:00
"0908",3,0,0,2020-04-21 00:00:00
"0910",21,0,0,2020-04-21 00:00:00
"0912",8,0,0,2020-04-21 00:00:00
"0913",17,0,0,2020-04-21 00:00:00
"0914",79,0,0,2020-04-21 00:00:00
"1001",20,0,0,2020-04-21 00:00:00
"1002",26,0,0,2020-04-21 00:00:00
"1003",5,0,0,2020-04-21 00:00:00
"1004",4,0,0,2020-04-21 00:00:00
"1005",3,0,0,2020-04-21 00:00:00
"1006",11,0,0,2020-04-21 00:00:00
"1008",4,0,0,2020-04-21 00:00:00
"1009",58,0,0,2020-04-21 00:00:00
"1010",14,0,0,2020-04-21 00:00:00
"1012",3,0,0,2020-04-21 00:00:00
"1013",3,0,0,2020-04-21 00:00:00
"1014",10,0,0,2020-04-21 00:00:00
"1015",38,0,0,2020-04-21 00:00:00
"1016",6,0,0,2020-04-21 00:00:00
"1101",16,0,0,2020-04-21 00:00:00
"1102",5,0,0,2020-04-21 00:00:00
"1103",7,0,0,2020-04-21 00:00:00
"1104",5,0,0,2020-04-21 00:00:00
"1105",289,0,0,2020-04-21 00:00:00
"1106",1145,0,0,2020-04-21 00:00:00
"1107",292,0,0,2020-04-21 00:00:00
"1108",4,0,0,2020-04-21 00:00:00
"1109",61,0,0,2020-04-21 00:00:00
"1110",218,0,0,2020-04-21 00:00:00
"1111",506,0,0,2020-04-21 00:00:00
"1113",28,0,0,2020-04-21 00:00:00
"1114",139,0,0,2020-04-21 00:00:00
"1115",241,0,0,2020-04-21 00:00:00
"1116",174,0,0,2020-04-21 00:00:00
"1207",6,0,0,2020-04-21 00:00:00
"1214",6,0,0,2020-04-21 00:00:00
"1301",64,0,0,2020-04-21 00:00:00
"1302",7,0,0,2020-04-21 00:00:00
"1303",252,0,0,2020-04-21 00:00:00
"1304",853,0,0,2020-04-21 00:00:00
"1305",148,0,0,2020-04-21 00:00:00
"1306",742,0,0,2020-04-21 00:00:00
"1307",56,0,0,2020-04-21 00:00:00
"1308",884,0,0,2020-04-21 00:00:00
"1309",205,0,0,2020-04-21 00:00:00
"1310",235,0,0,2020-04-21 00:00:00
"1311",126,0,0,2020-04-21 00:00:00
"1312",1071,0,0,2020-04-21 00:00:00
"1313",90,0,0,2020-04-21 00:00:00
"1314",257,0,0,2020-04-21 00:00:00
"1315",598,0,0,2020-04-21 00:00:00
"1316",202,0,0,2020-04-21 00:00:00
"1317",1066,0,0,2020-04-21 00:00:00
"1318",109,0,0,2020-04-21 00:00:00
"1401",7,0,0,2020-04-21 00:00:00
"1402",5,0,0,2020-04-21 00:00:00
"1403",13,0,0,2020-04-21 00:00:00
"1404",6,0,0,2020-04-21 00:00:00
"1405",27,0,0,2020-04-21 00:00:00
"1406",21,0,0,2020-04-21 00:00:00
"1407",7,0,0,2020-04-21 00:00:00
"1409",29,0,0,2020-04-21 00:00:00
"1414",14,0,0,2020-04-21 00:00:00
"1415",6,0,0,2020-04-21 00:00:00
"1416",62,0,0,2020-04-21 00:00:00
"1418",9,0,0,2020-04-21 00:00:00
