"dico","cases","recovered","deaths","date"
"0101",41,0,0,2020-04-25 00:00:00
"0102",62,0,0,2020-04-25 00:00:00
"0103",31,0,0,2020-04-25 00:00:00
"0104",30,0,0,2020-04-25 00:00:00
"0105",250,0,0,2020-04-25 00:00:00
"0106",10,0,0,2020-04-25 00:00:00
"0107",66,0,0,2020-04-25 00:00:00
"0108",52,0,0,2020-04-25 00:00:00
"0109",358,0,0,2020-04-25 00:00:00
"0110",95,0,0,2020-04-25 00:00:00
"0111",14,0,0,2020-04-25 00:00:00
"0112",8,0,0,2020-04-25 00:00:00
"0113",149,0,0,2020-04-25 00:00:00
"0114",17,0,0,2020-04-25 00:00:00
"0115",536,0,0,2020-04-25 00:00:00
"0116",55,0,0,2020-04-25 00:00:00
"0117",29,0,0,2020-04-25 00:00:00
"0118",17,0,0,2020-04-25 00:00:00
"0119",85,0,0,2020-04-25 00:00:00
"0202",3,0,0,2020-04-25 00:00:00
"0205",9,0,0,2020-04-25 00:00:00
"0207",3,0,0,2020-04-25 00:00:00
"0210",29,0,0,2020-04-25 00:00:00
"0211",3,0,0,2020-04-25 00:00:00
"0213",18,0,0,2020-04-25 00:00:00
"0301",44,0,0,2020-04-25 00:00:00
"0302",197,0,0,2020-04-25 00:00:00
"0303",974,0,0,2020-04-25 00:00:00
"0304",11,0,0,2020-04-25 00:00:00
"0305",16,0,0,2020-04-25 00:00:00
"0306",40,0,0,2020-04-25 00:00:00
"0307",72,0,0,2020-04-25 00:00:00
"0308",486,0,0,2020-04-25 00:00:00
"0309",39,0,0,2020-04-25 00:00:00
"0310",9,0,0,2020-04-25 00:00:00
"0311",25,0,0,2020-04-25 00:00:00
"0312",313,0,0,2020-04-25 00:00:00
"0313",140,0,0,2020-04-25 00:00:00
"0314",72,0,0,2020-04-25 00:00:00
"0401",4,0,0,2020-04-25 00:00:00
"0402",99,0,0,2020-04-25 00:00:00
"0403",6,0,0,2020-04-25 00:00:00
"0405",19,0,0,2020-04-25 00:00:00
"0406",7,0,0,2020-04-25 00:00:00
"0407",17,0,0,2020-04-25 00:00:00
"0409",20,0,0,2020-04-25 00:00:00
"0410",5,0,0,2020-04-25 00:00:00
"0411",7,0,0,2020-04-25 00:00:00
"0412",24,0,0,2020-04-25 00:00:00
"0502",5,0,0,2020-04-25 00:00:00
"0503",7,0,0,2020-04-25 00:00:00
"0509",4,0,0,2020-04-25 00:00:00
"0601",7,0,0,2020-04-25 00:00:00
"0602",43,0,0,2020-04-25 00:00:00
"0603",371,0,0,2020-04-25 00:00:00
"0604",60,0,0,2020-04-25 00:00:00
"0605",19,0,0,2020-04-25 00:00:00
"0606",9,0,0,2020-04-25 00:00:00
"0607",12,0,0,2020-04-25 00:00:00
"0608",4,0,0,2020-04-25 00:00:00
"0609",12,0,0,2020-04-25 00:00:00
"0610",16,0,0,2020-04-25 00:00:00
"0611",12,0,0,2020-04-25 00:00:00
"0613",14,0,0,2020-04-25 00:00:00
"0614",3,0,0,2020-04-25 00:00:00
"0615",19,0,0,2020-04-25 00:00:00
"0616",34,0,0,2020-04-25 00:00:00
"0617",4,0,0,2020-04-25 00:00:00
"0705",19,0,0,2020-04-25 00:00:00
"0706",5,0,0,2020-04-25 00:00:00
"0709",3,0,0,2020-04-25 00:00:00
"0711",6,0,0,2020-04-25 00:00:00
"0712",7,0,0,2020-04-25 00:00:00
"0801",68,0,0,2020-04-25 00:00:00
"0804",3,0,0,2020-04-25 00:00:00
"0805",58,0,0,2020-04-25 00:00:00
"0807",4,0,0,2020-04-25 00:00:00
"0808",60,0,0,2020-04-25 00:00:00
"0809",3,0,0,2020-04-25 00:00:00
"0810",15,0,0,2020-04-25 00:00:00
"0811",33,0,0,2020-04-25 00:00:00
"0813",21,0,0,2020-04-25 00:00:00
"0814",32,0,0,2020-04-25 00:00:00
"0816",14,0,0,2020-04-25 00:00:00
"0902",6,0,0,2020-04-25 00:00:00
"0903",9,0,0,2020-04-25 00:00:00
"0904",3,0,0,2020-04-25 00:00:00
"0906",15,0,0,2020-04-25 00:00:00
"0907",20,0,0,2020-04-25 00:00:00
"0908",3,0,0,2020-04-25 00:00:00
"0910",22,0,0,2020-04-25 00:00:00
"0912",8,0,0,2020-04-25 00:00:00
"0913",17,0,0,2020-04-25 00:00:00
"0914",79,0,0,2020-04-25 00:00:00
"1001",25,0,0,2020-04-25 00:00:00
"1002",26,0,0,2020-04-25 00:00:00
"1003",5,0,0,2020-04-25 00:00:00
"1004",4,0,0,2020-04-25 00:00:00
"1005",3,0,0,2020-04-25 00:00:00
"1006",14,0,0,2020-04-25 00:00:00
"1008",4,0,0,2020-04-25 00:00:00
"1009",64,0,0,2020-04-25 00:00:00
"1010",15,0,0,2020-04-25 00:00:00
"1013",3,0,0,2020-04-25 00:00:00
"1014",10,0,0,2020-04-25 00:00:00
"1015",39,0,0,2020-04-25 00:00:00
"1016",6,0,0,2020-04-25 00:00:00
"1101",16,0,0,2020-04-25 00:00:00
"1102",5,0,0,2020-04-25 00:00:00
"1103",7,0,0,2020-04-25 00:00:00
"1104",5,0,0,2020-04-25 00:00:00
"1105",302,0,0,2020-04-25 00:00:00
"1106",1346,0,0,2020-04-25 00:00:00
"1107",304,0,0,2020-04-25 00:00:00
"1108",5,0,0,2020-04-25 00:00:00
"1109",63,0,0,2020-04-25 00:00:00
"1110",218,0,0,2020-04-25 00:00:00
"1111",523,0,0,2020-04-25 00:00:00
"1113",31,0,0,2020-04-25 00:00:00
"1114",150,0,0,2020-04-25 00:00:00
"1115",261,0,0,2020-04-25 00:00:00
"1116",195,0,0,2020-04-25 00:00:00
"1207",7,0,0,2020-04-25 00:00:00
"1214",6,0,0,2020-04-25 00:00:00
"1301",79,0,0,2020-04-25 00:00:00
"1302",10,0,0,2020-04-25 00:00:00
"1303",286,0,0,2020-04-25 00:00:00
"1304",897,0,0,2020-04-25 00:00:00
"1305",167,0,0,2020-04-25 00:00:00
"1306",770,0,0,2020-04-25 00:00:00
"1307",58,0,0,2020-04-25 00:00:00
"1308",945,0,0,2020-04-25 00:00:00
"1309",222,0,0,2020-04-25 00:00:00
"1310",251,0,0,2020-04-25 00:00:00
"1311",135,0,0,2020-04-25 00:00:00
"1312",1120,0,0,2020-04-25 00:00:00
"1313",95,0,0,2020-04-25 00:00:00
"1314",284,0,0,2020-04-25 00:00:00
"1315",660,0,0,2020-04-25 00:00:00
"1316",212,0,0,2020-04-25 00:00:00
"1317",1180,0,0,2020-04-25 00:00:00
"1318",115,0,0,2020-04-25 00:00:00
"1401",7,0,0,2020-04-25 00:00:00
"1402",5,0,0,2020-04-25 00:00:00
"1403",13,0,0,2020-04-25 00:00:00
"1404",9,0,0,2020-04-25 00:00:00
"1405",27,0,0,2020-04-25 00:00:00
"1406",22,0,0,2020-04-25 00:00:00
"1407",8,0,0,2020-04-25 00:00:00
"1409",33,0,0,2020-04-25 00:00:00
"1414",14,0,0,2020-04-25 00:00:00
"1415",6,0,0,2020-04-25 00:00:00
"1416",67,0,0,2020-04-25 00:00:00
"1418",10,0,0,2020-04-25 00:00:00
"1419",11,0,0,2020-04-25 00:00:00
"1420",3,0,0,2020-04-25 00:00:00
