OBJECTID,CasosConfirmados3103
1,5
2,6
3,18
4,
5,5
6,
7,
8,
9,4
10,
11,
12,
13,
14,6
15,
16,3
17,5
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,14
33,
34,
35,31
36,30
37,
38,
39,
40,4
41,
42,4
43,
44,
45,
46,
47,71
48,
49,8
50,
51,3
52,
53,4
54,
55,62
56,8
57,11
58,5
59,
60,9
61,
62,
63,12
64,
65,
66,
67,70
68,
69,
70,
71,39
72,
73,37
74,
75,
76,
77,7
78,
79,
80,
81,220
82,48
83,
84,
85,
86,3
87,
88,11
89,3
90,
91,9
92,113
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,10
104,3
105,157
106,19
107,
108,7
109,
110,
111,
112,
113,
114,25
115,10
116,20
117,
118,15
119,7
120,26
121,45
122,
123,
124,3
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,298
135,
136,3
137,3
138,81
139,
140,14
141,3
142,
143,5
144,6
145,505
146,23
147,84
148,
149,5
150,52
151,
152,7
153,34
154,293
155,
156,
157,17
158,7
159,
160,273
161,3
162,
163,4
164,
165,
166,
167,3
168,
169,11
170,
171,
172,22
173,5
174,
175,
176,
177,
178,
179,12
180,14
181,
182,
183,
184,
185,
186,6
187,
188,4
189,
190,
191,
192,66
193,70
194,
195,3
196,59
197,6
198,9
199,
200,5
201,
202,159
203,40
204,11
205,
206,42
207,
208,
209,5
210,31
211,
212,
213,
214,
215,
216,3
217,
218,21
219,
220,
221,
222,
223,
224,21
225,462
226,
227,14
228,15
229,
230,
231,3
232,35
233,
234,4
235,
236,
237,
238,
239,148
240,
241,27
242,6
243,43
244,
245,25
246,
247,3
248,
249,
250,
251,71
252,
253,
254,
255,10
256,25
257,
258,6
259,3
260,167
261,
262,7
263,
264,
265,
266,
267,3
268,
269,3
270,
271,
272,
273,13
274,
275,31
276,5
277,22
278,
279,210
280,3
281,
282,
283,33
284,
285,3
286,
287,
288,34
289,
290,22
291,
292,
293,93
294,
295,338
296,
297,3
298,3
299,121
300,9
301,
302,25
303,
304,3
305,
306,19
307,8
308,
309,
310,
311,
312,
313,
314,
