OBJECTID,CasosConfirmados2903
1,4
2,6
3,23
4,
5,5
6,
7,
8,
9,4
10,
11,
12,5
13,
14,4
15,
16,3
17,
18,
19,
20,6
21,
22,
23,
24,
25,
26,7
27,
28,
29,
30,
31,
32,15
33,
34,
35,32
36,19
37,
38,
39,
40,3
41,
42,
43,
44,
45,
46,
47,64
48,
49,7
50,
51,3
52,
53,4
54,
55,53
56,5
57,9
58,4
59,
60,9
61,
62,
63,10
64,
65,
66,
67,95
68,
69,
70,4
71,29
72,
73,17
74,
75,
76,
77,13
78,
79,
80,
81,208
82,38
83,
84,
85,3
86,3
87,
88,8
89,3
90,
91,11
92,110
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,11
104,3
105,119
106,13
107,
108,4
109,
110,
111,
112,
113,
114,27
115,8
116,16
117,
118,20
119,5
120,20
121,37
122,
123,
124,3
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,242
135,
136,3
137,
138,70
139,
140,12
141,
142,18
143,4
144,10
145,594
146,15
147,64
148,
149,3
150,42
151,
152,5
153,27
154,296
155,
156,
157,15
158,7
159,
160,254
161,4
162,
163,
164,
165,
166,
167,3
168,
169,10
170,
171,
172,12
173,3
174,
175,
176,
177,
178,
179,10
180,11
181,
182,
183,
184,
185,
186,6
187,
188,4
189,
190,
191,
192,63
193,74
194,
195,3
196,67
197,7
198,9
199,
200,5
201,
202,159
203,31
204,7
205,
206,34
207,
208,
209,3
210,21
211,
212,
213,
214,
215,
216,5
217,
218,18
219,
220,3
221,
222,
223,
224,18
225,417
226,
227,12
228,16
229,
230,
231,3
232,26
233,
234,
235,
236,
237,
238,
239,136
240,
241,22
242,
243,42
244,
245,28
246,
247,3
248,
249,
250,
251,66
252,
253,
254,
255,10
256,20
257,3
258,5
259,4
260,148
261,
262,6
263,
264,
265,
266,
267,
268,
269,3
270,
271,
272,
273,11
274,
275,29
276,5
277,24
278,
279,184
280,3
281,
282,
283,33
284,
285,
286,
287,
288,32
289,
290,22
291,
292,
293,61
294,
295,351
296,
297,
298,3
299,103
300,5
301,
302,14
303,
304,3
305,
306,20
307,5
308,
309,
310,
311,
312,
313,3
314,
