"dico","cases","recovered","deaths","date"
"0101",44,0,0,2020-04-27 00:00:00
"0102",72,0,0,2020-04-27 00:00:00
"0103",36,0,0,2020-04-27 00:00:00
"0104",31,0,0,2020-04-27 00:00:00
"0105",278,0,0,2020-04-27 00:00:00
"0106",10,0,0,2020-04-27 00:00:00
"0107",69,0,0,2020-04-27 00:00:00
"0108",60,0,0,2020-04-27 00:00:00
"0109",387,0,0,2020-04-27 00:00:00
"0110",108,0,0,2020-04-27 00:00:00
"0111",16,0,0,2020-04-27 00:00:00
"0112",9,0,0,2020-04-27 00:00:00
"0113",163,0,0,2020-04-27 00:00:00
"0114",21,0,0,2020-04-27 00:00:00
"0115",564,0,0,2020-04-27 00:00:00
"0116",57,0,0,2020-04-27 00:00:00
"0117",31,0,0,2020-04-27 00:00:00
"0118",18,0,0,2020-04-27 00:00:00
"0119",102,0,0,2020-04-27 00:00:00
"0202",3,0,0,2020-04-27 00:00:00
"0205",9,0,0,2020-04-27 00:00:00
"0207",3,0,0,2020-04-27 00:00:00
"0210",34,0,0,2020-04-27 00:00:00
"0211",3,0,0,2020-04-27 00:00:00
"0213",18,0,0,2020-04-27 00:00:00
"0301",45,0,0,2020-04-27 00:00:00
"0302",202,0,0,2020-04-27 00:00:00
"0303",1019,0,0,2020-04-27 00:00:00
"0304",15,0,0,2020-04-27 00:00:00
"0305",19,0,0,2020-04-27 00:00:00
"0306",40,0,0,2020-04-27 00:00:00
"0307",79,0,0,2020-04-27 00:00:00
"0308",507,0,0,2020-04-27 00:00:00
"0309",44,0,0,2020-04-27 00:00:00
"0310",9,0,0,2020-04-27 00:00:00
"0311",28,0,0,2020-04-27 00:00:00
"0312",339,0,0,2020-04-27 00:00:00
"0313",145,0,0,2020-04-27 00:00:00
"0314",75,0,0,2020-04-27 00:00:00
"0401",4,0,0,2020-04-27 00:00:00
"0402",101,0,0,2020-04-27 00:00:00
"0403",7,0,0,2020-04-27 00:00:00
"0405",20,0,0,2020-04-27 00:00:00
"0406",7,0,0,2020-04-27 00:00:00
"0407",18,0,0,2020-04-27 00:00:00
"0408",3,0,0,2020-04-27 00:00:00
"0409",22,0,0,2020-04-27 00:00:00
"0410",5,0,0,2020-04-27 00:00:00
"0411",8,0,0,2020-04-27 00:00:00
"0412",26,0,0,2020-04-27 00:00:00
"0502",5,0,0,2020-04-27 00:00:00
"0503",7,0,0,2020-04-27 00:00:00
"0509",4,0,0,2020-04-27 00:00:00
"0601",8,0,0,2020-04-27 00:00:00
"0602",50,0,0,2020-04-27 00:00:00
"0603",401,0,0,2020-04-27 00:00:00
"0604",68,0,0,2020-04-27 00:00:00
"0605",23,0,0,2020-04-27 00:00:00
"0606",10,0,0,2020-04-27 00:00:00
"0607",13,0,0,2020-04-27 00:00:00
"0608",4,0,0,2020-04-27 00:00:00
"0609",13,0,0,2020-04-27 00:00:00
"0610",16,0,0,2020-04-27 00:00:00
"0611",10,0,0,2020-04-27 00:00:00
"0613",16,0,0,2020-04-27 00:00:00
"0614",3,0,0,2020-04-27 00:00:00
"0615",21,0,0,2020-04-27 00:00:00
"0616",33,0,0,2020-04-27 00:00:00
"0617",4,0,0,2020-04-27 00:00:00
"0705",19,0,0,2020-04-27 00:00:00
"0706",5,0,0,2020-04-27 00:00:00
"0709",3,0,0,2020-04-27 00:00:00
"0711",5,0,0,2020-04-27 00:00:00
"0712",7,0,0,2020-04-27 00:00:00
"0801",69,0,0,2020-04-27 00:00:00
"0804",3,0,0,2020-04-27 00:00:00
"0805",60,0,0,2020-04-27 00:00:00
"0806",9,0,0,2020-04-27 00:00:00
"0807",4,0,0,2020-04-27 00:00:00
"0808",61,0,0,2020-04-27 00:00:00
"0810",15,0,0,2020-04-27 00:00:00
"0811",35,0,0,2020-04-27 00:00:00
"0813",21,0,0,2020-04-27 00:00:00
"0814",30,0,0,2020-04-27 00:00:00
"0816",17,0,0,2020-04-27 00:00:00
"0902",6,0,0,2020-04-27 00:00:00
"0903",9,0,0,2020-04-27 00:00:00
"0904",3,0,0,2020-04-27 00:00:00
"0906",19,0,0,2020-04-27 00:00:00
"0907",20,0,0,2020-04-27 00:00:00
"0908",3,0,0,2020-04-27 00:00:00
"0910",23,0,0,2020-04-27 00:00:00
"0912",9,0,0,2020-04-27 00:00:00
"0913",17,0,0,2020-04-27 00:00:00
"0914",80,0,0,2020-04-27 00:00:00
"1001",27,0,0,2020-04-27 00:00:00
"1002",27,0,0,2020-04-27 00:00:00
"1003",5,0,0,2020-04-27 00:00:00
"1004",4,0,0,2020-04-27 00:00:00
"1005",4,0,0,2020-04-27 00:00:00
"1006",19,0,0,2020-04-27 00:00:00
"1008",4,0,0,2020-04-27 00:00:00
"1009",64,0,0,2020-04-27 00:00:00
"1010",16,0,0,2020-04-27 00:00:00
"1013",3,0,0,2020-04-27 00:00:00
"1014",10,0,0,2020-04-27 00:00:00
"1015",49,0,0,2020-04-27 00:00:00
"1016",8,0,0,2020-04-27 00:00:00
"1101",17,0,0,2020-04-27 00:00:00
"1102",5,0,0,2020-04-27 00:00:00
"1103",7,0,0,2020-04-27 00:00:00
"1104",5,0,0,2020-04-27 00:00:00
"1105",320,0,0,2020-04-27 00:00:00
"1106",1413,0,0,2020-04-27 00:00:00
"1107",315,0,0,2020-04-27 00:00:00
"1108",5,0,0,2020-04-27 00:00:00
"1109",67,0,0,2020-04-27 00:00:00
"1110",218,0,0,2020-04-27 00:00:00
"1111",562,0,0,2020-04-27 00:00:00
