"dico","cases","recovered","deaths","date"
"0101",47,0,0,2020-05-02 00:00:00
"0102",83,0,0,2020-05-02 00:00:00
"0103",37,0,0,2020-05-02 00:00:00
"0104",35,0,0,2020-05-02 00:00:00
"0105",275,0,0,2020-05-02 00:00:00
"0106",14,0,0,2020-05-02 00:00:00
"0107",76,0,0,2020-05-02 00:00:00
"0108",69,0,0,2020-05-02 00:00:00
"0109",406,0,0,2020-05-02 00:00:00
"0110",99,0,0,2020-05-02 00:00:00
"0111",17,0,0,2020-05-02 00:00:00
"0112",11,0,0,2020-05-02 00:00:00
"0113",173,0,0,2020-05-02 00:00:00
"0114",24,0,0,2020-05-02 00:00:00
"0115",566,0,0,2020-05-02 00:00:00
"0116",62,0,0,2020-05-02 00:00:00
"0117",34,0,0,2020-05-02 00:00:00
"0118",19,0,0,2020-05-02 00:00:00
"0119",136,0,0,2020-05-02 00:00:00
"0202",8,0,0,2020-05-02 00:00:00
"0205",10,0,0,2020-05-02 00:00:00
"0207",3,0,0,2020-05-02 00:00:00
"0210",54,0,0,2020-05-02 00:00:00
"0211",4,0,0,2020-05-02 00:00:00
"0213",18,0,0,2020-05-02 00:00:00
"0301",44,0,0,2020-05-02 00:00:00
"0302",216,0,0,2020-05-02 00:00:00
"0303",1086,0,0,2020-05-02 00:00:00
"0304",17,0,0,2020-05-02 00:00:00
"0305",18,0,0,2020-05-02 00:00:00
"0306",37,0,0,2020-05-02 00:00:00
"0307",96,0,0,2020-05-02 00:00:00
"0308",613,0,0,2020-05-02 00:00:00
"0309",51,0,0,2020-05-02 00:00:00
"0310",8,0,0,2020-05-02 00:00:00
"0311",28,0,0,2020-05-02 00:00:00
"0312",359,0,0,2020-05-02 00:00:00
"0313",159,0,0,2020-05-02 00:00:00
"0314",98,0,0,2020-05-02 00:00:00
"0401",5,0,0,2020-05-02 00:00:00
"0402",111,0,0,2020-05-02 00:00:00
"0403",5,0,0,2020-05-02 00:00:00
"0405",21,0,0,2020-05-02 00:00:00
"0406",8,0,0,2020-05-02 00:00:00
"0407",17,0,0,2020-05-02 00:00:00
"0408",3,0,0,2020-05-02 00:00:00
"0409",23,0,0,2020-05-02 00:00:00
"0410",5,0,0,2020-05-02 00:00:00
"0411",8,0,0,2020-05-02 00:00:00
"0412",27,0,0,2020-05-02 00:00:00
"0502",5,0,0,2020-05-02 00:00:00
"0503",7,0,0,2020-05-02 00:00:00
"0504",3,0,0,2020-05-02 00:00:00
"0509",4,0,0,2020-05-02 00:00:00
"0601",8,0,0,2020-05-02 00:00:00
"0602",51,0,0,2020-05-02 00:00:00
"0603",416,0,0,2020-05-02 00:00:00
"0604",64,0,0,2020-05-02 00:00:00
"0605",27,0,0,2020-05-02 00:00:00
"0606",10,0,0,2020-05-02 00:00:00
"0607",13,0,0,2020-05-02 00:00:00
"0608",4,0,0,2020-05-02 00:00:00
"0609",15,0,0,2020-05-02 00:00:00
"0610",15,0,0,2020-05-02 00:00:00
"0611",10,0,0,2020-05-02 00:00:00
"0613",16,0,0,2020-05-02 00:00:00
"0614",3,0,0,2020-05-02 00:00:00
"0615",21,0,0,2020-05-02 00:00:00
"0616",30,0,0,2020-05-02 00:00:00
"0617",4,0,0,2020-05-02 00:00:00
"0705",19,0,0,2020-05-02 00:00:00
"0706",7,0,0,2020-05-02 00:00:00
"0709",6,0,0,2020-05-02 00:00:00
"0711",5,0,0,2020-05-02 00:00:00
"0712",6,0,0,2020-05-02 00:00:00
"0801",68,0,0,2020-05-02 00:00:00
"0804",3,0,0,2020-05-02 00:00:00
"0805",66,0,0,2020-05-02 00:00:00
"0807",3,0,0,2020-05-02 00:00:00
"0808",62,0,0,2020-05-02 00:00:00
"0810",13,0,0,2020-05-02 00:00:00
"0811",35,0,0,2020-05-02 00:00:00
"0813",22,0,0,2020-05-02 00:00:00
"0814",30,0,0,2020-05-02 00:00:00
"0816",12,0,0,2020-05-02 00:00:00
"0902",6,0,0,2020-05-02 00:00:00
"0903",9,0,0,2020-05-02 00:00:00
"0904",3,0,0,2020-05-02 00:00:00
"0906",18,0,0,2020-05-02 00:00:00
"0907",20,0,0,2020-05-02 00:00:00
"0908",3,0,0,2020-05-02 00:00:00
"0910",22,0,0,2020-05-02 00:00:00
"0912",13,0,0,2020-05-02 00:00:00
"0913",15,0,0,2020-05-02 00:00:00
"0914",72,0,0,2020-05-02 00:00:00
"1001",28,0,0,2020-05-02 00:00:00
"1002",24,0,0,2020-05-02 00:00:00
"1003",6,0,0,2020-05-02 00:00:00
"1004",4,0,0,2020-05-02 00:00:00
"1005",3,0,0,2020-05-02 00:00:00
"1006",19,0,0,2020-05-02 00:00:00
"1008",4,0,0,2020-05-02 00:00:00
"1009",74,0,0,2020-05-02 00:00:00
"1010",16,0,0,2020-05-02 00:00:00
"1013",3,0,0,2020-05-02 00:00:00
"1014",10,0,0,2020-05-02 00:00:00
"1015",52,0,0,2020-05-02 00:00:00
"1016",8,0,0,2020-05-02 00:00:00
"1101",22,0,0,2020-05-02 00:00:00
"1102",5,0,0,2020-05-02 00:00:00
"1103",13,0,0,2020-05-02 00:00:00
"1104",5,0,0,2020-05-02 00:00:00
"1105",338,0,0,2020-05-02 00:00:00
"1106",1567,0,0,2020-05-02 00:00:00
"1107",400,0,0,2020-05-02 00:00:00
"1108",5,0,0,2020-05-02 00:00:00
"1109",71,0,0,2020-05-02 00:00:00
"1110",223,0,0,2020-05-02 00:00:00
"1111",604,0,0,2020-05-02 00:00:00
"1113",29,0,0,2020-05-02 00:00:00
"1114",186,0,0,2020-05-02 00:00:00
"1115",315,0,0,2020-05-02 00:00:00
"1116",233,0,0,2020-05-02 00:00:00
"1207",5,0,0,2020-05-02 00:00:00
"1213",3,0,0,2020-05-02 00:00:00
"1214",5,0,0,2020-05-02 00:00:00
"1301",86,0,0,2020-05-02 00:00:00
"1302",14,0,0,2020-05-02 00:00:00
"1303",346,0,0,2020-05-02 00:00:00
"1304",1012,0,0,2020-05-02 00:00:00
"1305",214,0,0,2020-05-02 00:00:00
"1306",871,0,0,2020-05-02 00:00:00
"1307",68,0,0,2020-05-02 00:00:00
"1308",1149,0,0,2020-05-02 00:00:00
"1309",267,0,0,2020-05-02 00:00:00
"1310",298,0,0,2020-05-02 00:00:00
"1311",142,0,0,2020-05-02 00:00:00
"1312",1247,0,0,2020-05-02 00:00:00
"1313",132,0,0,2020-05-02 00:00:00
"1314",350,0,0,2020-05-02 00:00:00
"1315",729,0,0,2020-05-02 00:00:00
"1316",251,0,0,2020-05-02 00:00:00
"1317",1413,0,0,2020-05-02 00:00:00
