OBJECTID,CasosConfirmados3003
1,4
2,6
3,23
4,
5,5
6,
7,3
8,
9,4
10,
11,
12,5
13,
14,6
15,
16,3
17,5
18,
19,3
20,6
21,
22,
23,
24,
25,
26,7
27,
28,
29,
30,
31,7
32,18
33,
34,
35,50
36,21
37,
38,3
39,
40,3
41,
42,4
43,
44,
45,
46,
47,68
48,6
49,9
50,
51,3
52,
53,4
54,
55,63
56,6
57,9
58,5
59,
60,9
61,
62,
63,12
64,
65,
66,
67,95
68,
69,3
70,4
71,35
72,
73,23
74,
75,
76,
77,12
78,
79,
80,
81,213
82,44
83,
84,
85,8
86,3
87,
88,8
89,3
90,
91,13
92,119
93,
94,
95,
96,
97,22
98,
99,
100,
101,
102,
103,12
104,5
105,229
106,15
107,
108,5
109,
110,
111,
112,
113,
114,29
115,8
116,23
117,
118,21
119,6
120,21
121,42
122,
123,
124,7
125,
126,
127,
128,
129,
130,
131,
132,3
133,
134,276
135,
136,6
137,4
138,75
139,
140,18
141,
142,18
143,4
144,10
145,633
146,17
147,72
148,
149,4
150,44
151,
152,7
153,31
154,313
155,
156,
157,18
158,7
159,
160,295
161,5
162,
163,4
164,
165,
166,
167,4
168,
169,10
170,
171,
172,12
173,3
174,
175,
176,
177,
178,
179,12
180,11
181,
182,
183,
184,
185,
186,6
187,
188,5
189,
190,
191,
192,64
193,79
194,
195,3
196,71
197,7
198,10
199,
200,5
201,
202,241
203,35
204,9
205,
206,35
207,
208,
209,5
210,22
211,
212,
213,
214,
215,3
216,6
217,
218,19
219,
220,5
221,
222,
223,
224,19
225,941
226,
227,12
228,24
229,
230,
231,4
232,27
233,
234,4
235,
236,
237,
238,
239,154
240,
241,26
242,6
243,44
244,
245,32
246,
247,3
248,
249,
250,4
251,68
252,
253,
254,
255,11
256,24
257,3
258,5
259,4
260,159
261,
262,8
263,
264,
265,
266,
267,
268,
269,9
270,
271,3
272,4
273,13
274,5
275,30
276,5
277,25
278,
279,202
280,3
281,
282,
283,36
284,
285,3
286,
287,
288,39
289,
290,24
291,
292,
293,71
294,
295,344
296,
297,
298,3
299,115
300,5
301,
302,15
303,
304,3
305,
306,28
307,5
308,
309,
310,
311,
312,
313,
314,
