"objectid","datarel","confirmed","deaths","recovered"
1,2020-05-17,242,1,
2,2020-05-17,356,15,
3,2020-05-17,3626,221,
4,2020-05-17,8235,273,
5,2020-05-17,16352,693,
6,2020-05-17,135,15,
8,2020-05-17,90,0,
