OBJECTID,CasosConfirmados2803
1,4
2,4
3,16
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,4
15,
16,3
17,
18,
19,
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,13
33,
34,
35,28
36,22
37,
38,
39,
40,3
41,
42,
43,
44,
45,
46,
47,53
48,3
49,7
50,
51,3
52,
53,4
54,
55,41
56,4
57,8
58,4
59,
60,7
61,
62,
63,8
64,
65,
66,
67,62
68,
69,
70,
71,20
72,
73,18
74,
75,
76,
77,6
78,
79,
80,
81,152
82,25
83,
84,
85,8
86,3
87,
88,7
89,3
90,
91,13
92,81
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,10
104,
105,110
106,6
107,
108,4
109,
110,
111,
112,
113,
114,18
115,7
116,15
117,
118,12
119,5
120,26
121,26
122,
123,
124,3
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,153
135,
136,6
137,
138,51
139,
140,12
141,3
142,
143,
144,7
145,366
146,13
147,57
148,
149,
150,38
151,
152,4
153,24
154,219
155,
156,
157,9
158,7
159,
160,187
161,
162,
163,
164,
165,
166,
167,
168,
169,8
170,
171,
172,10
173,3
174,
175,
176,
177,
178,
179,8
180,9
181,
182,
183,
184,
185,
186,5
187,
188,4
189,
190,
191,
192,46
193,47
194,
195,
196,46
197,
198,7
199,
200,4
201,
202,145
203,22
204,5
205,
206,21
207,
208,
209,3
210,13
211,
212,
213,
214,
215,
216,
217,
218,13
219,
220,5
221,
222,
223,
224,17
225,343
226,
227,7
228,15
229,
230,
231,3
232,32
233,
234,
235,
236,
237,
238,
239,103
240,
241,20
242,
243,24
244,
245,13
246,
247,
248,
249,
250,
251,59
252,
253,
254,
255,7
256,15
257,
258,5
259,
260,116
261,
262,7
263,
264,
265,
266,
267,
268,
269,6
270,
271,3
272,3
273,13
274,
275,14
276,5
277,15
278,
279,139
280,
281,
282,
283,24
284,
285,
286,
287,
288,22
289,
290,16
291,
292,
293,48
294,
295,262
296,
297,
298,3
299,98
300,5
301,
302,10
303,
304,
305,
306,21
307,4
308,
309,
310,
311,
312,
313,
314,
