"dico","cases","recovered","deaths","date"
"0101",55,0,0,2020-05-05 00:00:00
"0102",83,0,0,2020-05-05 00:00:00
"0103",40,0,0,2020-05-05 00:00:00
"0104",35,0,0,2020-05-05 00:00:00
"0105",300,0,0,2020-05-05 00:00:00
"0106",14,0,0,2020-05-05 00:00:00
"0107",73,0,0,2020-05-05 00:00:00
"0108",77,0,0,2020-05-05 00:00:00
"0109",419,0,0,2020-05-05 00:00:00
"0110",111,0,0,2020-05-05 00:00:00
"0111",18,0,0,2020-05-05 00:00:00
"0112",13,0,0,2020-05-05 00:00:00
"0113",176,0,0,2020-05-05 00:00:00
"0114",26,0,0,2020-05-05 00:00:00
"0115",574,0,0,2020-05-05 00:00:00
"0116",62,0,0,2020-05-05 00:00:00
"0117",36,0,0,2020-05-05 00:00:00
"0118",20,0,0,2020-05-05 00:00:00
"0119",136,0,0,2020-05-05 00:00:00
"0202",8,0,0,2020-05-05 00:00:00
"0205",10,0,0,2020-05-05 00:00:00
"0207",3,0,0,2020-05-05 00:00:00
"0210",54,0,0,2020-05-05 00:00:00
"0211",4,0,0,2020-05-05 00:00:00
"0213",15,0,0,2020-05-05 00:00:00
"0301",51,0,0,2020-05-05 00:00:00
"0302",225,0,0,2020-05-05 00:00:00
"0303",1113,0,0,2020-05-05 00:00:00
"0304",16,0,0,2020-05-05 00:00:00
"0305",18,0,0,2020-05-05 00:00:00
"0306",40,0,0,2020-05-05 00:00:00
"0307",98,0,0,2020-05-05 00:00:00
"0308",622,0,0,2020-05-05 00:00:00
"0309",57,0,0,2020-05-05 00:00:00
"0310",7,0,0,2020-05-05 00:00:00
"0311",31,0,0,2020-05-05 00:00:00
"0312",382,0,0,2020-05-05 00:00:00
"0313",168,0,0,2020-05-05 00:00:00
"0314",99,0,0,2020-05-05 00:00:00
"0401",5,0,0,2020-05-05 00:00:00
"0402",111,0,0,2020-05-05 00:00:00
"0403",5,0,0,2020-05-05 00:00:00
"0405",19,0,0,2020-05-05 00:00:00
"0406",8,0,0,2020-05-05 00:00:00
"0407",17,0,0,2020-05-05 00:00:00
"0408",3,0,0,2020-05-05 00:00:00
"0409",23,0,0,2020-05-05 00:00:00
"0410",3,0,0,2020-05-05 00:00:00
"0411",8,0,0,2020-05-05 00:00:00
"0412",28,0,0,2020-05-05 00:00:00
"0502",5,0,0,2020-05-05 00:00:00
"0503",7,0,0,2020-05-05 00:00:00
"0504",3,0,0,2020-05-05 00:00:00
"0509",4,0,0,2020-05-05 00:00:00
"0601",7,0,0,2020-05-05 00:00:00
"0602",62,0,0,2020-05-05 00:00:00
"0603",508,0,0,2020-05-05 00:00:00
"0604",135,0,0,2020-05-05 00:00:00
"0605",28,0,0,2020-05-05 00:00:00
"0606",9,0,0,2020-05-05 00:00:00
"0607",15,0,0,2020-05-05 00:00:00
"0608",4,0,0,2020-05-05 00:00:00
"0609",16,0,0,2020-05-05 00:00:00
"0610",18,0,0,2020-05-05 00:00:00
"0611",11,0,0,2020-05-05 00:00:00
"0613",19,0,0,2020-05-05 00:00:00
"0614",4,0,0,2020-05-05 00:00:00
"0615",21,0,0,2020-05-05 00:00:00
"0616",33,0,0,2020-05-05 00:00:00
"0617",4,0,0,2020-05-05 00:00:00
"0705",19,0,0,2020-05-05 00:00:00
"0706",7,0,0,2020-05-05 00:00:00
"0709",6,0,0,2020-05-05 00:00:00
"0711",5,0,0,2020-05-05 00:00:00
"0712",6,0,0,2020-05-05 00:00:00
"0801",70,0,0,2020-05-05 00:00:00
"0804",3,0,0,2020-05-05 00:00:00
"0805",60,0,0,2020-05-05 00:00:00
"0806",9,0,0,2020-05-05 00:00:00
"0807",3,0,0,2020-05-05 00:00:00
"0808",62,0,0,2020-05-05 00:00:00
"0810",12,0,0,2020-05-05 00:00:00
"0811",36,0,0,2020-05-05 00:00:00
"0813",22,0,0,2020-05-05 00:00:00
"0814",30,0,0,2020-05-05 00:00:00
"0816",13,0,0,2020-05-05 00:00:00
"0902",4,0,0,2020-05-05 00:00:00
"0903",6,0,0,2020-05-05 00:00:00
"0905",3,0,0,2020-05-05 00:00:00
"0906",21,0,0,2020-05-05 00:00:00
"0907",21,0,0,2020-05-05 00:00:00
"0908",7,0,0,2020-05-05 00:00:00
"0910",20,0,0,2020-05-05 00:00:00
"0912",13,0,0,2020-05-05 00:00:00
"0913",18,0,0,2020-05-05 00:00:00
"0914",72,0,0,2020-05-05 00:00:00
"1001",30,0,0,2020-05-05 00:00:00
"1002",24,0,0,2020-05-05 00:00:00
"1003",5,0,0,2020-05-05 00:00:00
"1004",4,0,0,2020-05-05 00:00:00
"1005",3,0,0,2020-05-05 00:00:00
"1006",19,0,0,2020-05-05 00:00:00
"1008",4,0,0,2020-05-05 00:00:00
"1009",79,0,0,2020-05-05 00:00:00
"1010",18,0,0,2020-05-05 00:00:00
"1013",3,0,0,2020-05-05 00:00:00
"1014",8,0,0,2020-05-05 00:00:00
"1015",57,0,0,2020-05-05 00:00:00
"1016",9,0,0,2020-05-05 00:00:00
"1101",23,0,0,2020-05-05 00:00:00
"1102",6,0,0,2020-05-05 00:00:00
"1103",23,0,0,2020-05-05 00:00:00
"1104",5,0,0,2020-05-05 00:00:00
"1105",350,0,0,2020-05-05 00:00:00
"1106",1579,0,0,2020-05-05 00:00:00
"1107",420,0,0,2020-05-05 00:00:00
"1108",5,0,0,2020-05-05 00:00:00
"1109",72,0,0,2020-05-05 00:00:00
"1110",232,0,0,2020-05-05 00:00:00
"1111",627,0,0,2020-05-05 00:00:00
"1113",26,0,0,2020-05-05 00:00:00
"1114",216,0,0,2020-05-05 00:00:00
"1115",368,0,0,2020-05-05 00:00:00
"1116",248,0,0,2020-05-05 00:00:00
"1207",5,0,0,2020-05-05 00:00:00
"1213",3,0,0,2020-05-05 00:00:00
"1214",4,0,0,2020-05-05 00:00:00
"1301",86,0,0,2020-05-05 00:00:00
"1302",14,0,0,2020-05-05 00:00:00
"1303",356,0,0,2020-05-05 00:00:00
"1304",1009,0,0,2020-05-05 00:00:00
"1305",225,0,0,2020-05-05 00:00:00
"1306",871,0,0,2020-05-05 00:00:00
"1307",73,0,0,2020-05-05 00:00:00
"1308",1149,0,0,2020-05-05 00:00:00
"1309",272,0,0,2020-05-05 00:00:00
"1310",305,0,0,2020-05-05 00:00:00
"1311",145,0,0,2020-05-05 00:00:00
"1312",1266,0,0,2020-05-05 00:00:00
"1313",136,0,0,2020-05-05 00:00:00
"1314",356,0,0,2020-05-05 00:00:00
"1315",729,0,0,2020-05-05 00:00:00
"1316",260,0,0,2020-05-05 00:00:00
"1317",1425,0,0,2020-05-05 00:00:00
"1318",139,0,0,2020-05-05 00:00:00
"1401",7,0,0,2020-05-05 00:00:00
"1402",8,0,0,2020-05-05 00:00:00
"1403",13,0,0,2020-05-05 00:00:00
"1404",7,0,0,2020-05-05 00:00:00
"1405",28,0,0,2020-05-05 00:00:00
"1406",37,0,0,2020-05-05 00:00:00
"1407",9,0,0,2020-05-05 00:00:00
"1409",34,0,0,2020-05-05 00:00:00
"1410",6,0,0,2020-05-05 00:00:00
"1414",15,0,0,2020-05-05 00:00:00
"1415",6,0,0,2020-05-05 00:00:00
"1416",76,0,0,2020-05-05 00:00:00
"1418",11,0,0,2020-05-05 00:00:00
"1419",12,0,0,2020-05-05 00:00:00
"1420",3,0,0,2020-05-05 00:00:00
"1421",28,0,0,2020-05-05 00:00:00
"1501",4,0,0,2020-05-05 00:00:00
"1502",16,0,0,2020-05-05 00:00:00
"1503",247,0,0,2020-05-05 00:00:00
"1504",109,0,0,2020-05-05 00:00:00
"1505",9,0,0,2020-05-05 00:00:00
"1506",72,0,0,2020-05-05 00:00:00
"1507",59,0,0,2020-05-05 00:00:00
"1508",18,0,0,2020-05-05 00:00:00
"1509",15,0,0,2020-05-05 00:00:00
"1510",165,0,0,2020-05-05 00:00:00
"1511",21,0,0,2020-05-05 00:00:00
"1512",63,0,0,2020-05-05 00:00:00
"1601",64,0,0,2020-05-05 00:00:00
"1602",16,0,0,2020-05-05 00:00:00
"1603",53,0,0,2020-05-05 00:00:00
"1604",101,0,0,2020-05-05 00:00:00
"1605",7,0,0,2020-05-05 00:00:00
"1606",6,0,0,2020-05-05 00:00:00
"1607",25,0,0,2020-05-05 00:00:00
"1608",6,0,0,2020-05-05 00:00:00
"1609",163,0,0,2020-05-05 00:00:00
"1610",7,0,0,2020-05-05 00:00:00
"1701",4,0,0,2020-05-05 00:00:00
"1703",26,0,0,2020-05-05 00:00:00
"1707",20,0,0,2020-05-05 00:00:00
"1708",53,0,0,2020-05-05 00:00:00
"1709",3,0,0,2020-05-05 00:00:00
"1710",7,0,0,2020-05-05 00:00:00
"1712",6,0,0,2020-05-05 00:00:00
"1713",3,0,0,2020-05-05 00:00:00
"1714",149,0,0,2020-05-05 00:00:00
"1802",11,0,0,2020-05-05 00:00:00
"1803",104,0,0,2020-05-05 00:00:00
"1804",17,0,0,2020-05-05 00:00:00
"1805",36,0,0,2020-05-05 00:00:00
"1806",75,0,0,2020-05-05 00:00:00
"1807",14,0,0,2020-05-05 00:00:00
"1808",8,0,0,2020-05-05 00:00:00
"1809",19,0,0,2020-05-05 00:00:00
"1810",11,0,0,2020-05-05 00:00:00
"1813",62,0,0,2020-05-05 00:00:00
"1814",9,0,0,2020-05-05 00:00:00
"1816",9,0,0,2020-05-05 00:00:00
"1817",7,0,0,2020-05-05 00:00:00
"1818",5,0,0,2020-05-05 00:00:00
"1821",14,0,0,2020-05-05 00:00:00
"1823",95,0,0,2020-05-05 00:00:00
"1824",8,0,0,2020-05-05 00:00:00
"3102",35,0,0,2020-05-05 00:00:00
"3103",26,0,0,2020-05-05 00:00:00
"3105",6,0,0,2020-05-05 00:00:00
