"objectid","datarel","confirmed","deaths","recovered"
1,2020-05-27,256,1,
2,2020-05-27,363,15,
3,2020-05-27,3690,235,
4,2020-05-27,10055,335,
5,2020-05-27,16703,755,
6,2020-05-27,90,0,
