"dico","cases","recovered","deaths","date"
"0101",3,0,0,2020-03-24 00:00:00
"0101",3,0,0,2020-03-25 00:00:00
"0101",10,0,0,2020-03-26 00:00:00
"0101",10,0,0,2020-03-27 00:00:00
"0101",13,0,0,2020-03-28 00:00:00
"0101",15,0,0,2020-03-29 00:00:00
"0101",18,0,0,2020-03-30 00:00:00
"0101",14,0,0,2020-03-31 00:00:00
"0101",19,0,0,2020-04-01 00:00:00
"0101",20,0,0,2020-04-02 00:00:00
"0101",22,0,0,2020-04-03 00:00:00
"0101",24,0,0,2020-04-04 00:00:00
"0101",24,0,0,2020-04-05 00:00:00
"0101",25,0,0,2020-04-06 00:00:00
"0101",26,0,0,2020-04-07 00:00:00
"0101",26,0,0,2020-04-08 00:00:00
"0101",30,0,0,2020-04-09 00:00:00
"0101",31,0,0,2020-04-10 00:00:00
"0101",32,0,0,2020-04-11 00:00:00
"0102",5,0,0,2020-03-24 00:00:00
"0102",5,0,0,2020-03-25 00:00:00
"0102",21,0,0,2020-03-26 00:00:00
"0102",28,0,0,2020-03-27 00:00:00
"0102",28,0,0,2020-03-28 00:00:00
"0102",32,0,0,2020-03-29 00:00:00
"0102",50,0,0,2020-03-30 00:00:00
"0102",31,0,0,2020-03-31 00:00:00
"0102",32,0,0,2020-04-01 00:00:00
"0102",34,0,0,2020-04-02 00:00:00
"0102",52,0,0,2020-04-03 00:00:00
"0102",53,0,0,2020-04-04 00:00:00
"0102",54,0,0,2020-04-05 00:00:00
"0102",54,0,0,2020-04-06 00:00:00
"0102",54,0,0,2020-04-07 00:00:00
"0102",54,0,0,2020-04-08 00:00:00
"0102",52,0,0,2020-04-09 00:00:00
"0102",52,0,0,2020-04-10 00:00:00
"0102",52,0,0,2020-04-11 00:00:00
"0103",4,0,0,2020-03-27 00:00:00
"0103",4,0,0,2020-03-28 00:00:00
"0103",4,0,0,2020-03-29 00:00:00
"0103",5,0,0,2020-03-30 00:00:00
"0103",5,0,0,2020-03-31 00:00:00
"0103",5,0,0,2020-04-01 00:00:00
"0103",5,0,0,2020-04-02 00:00:00
"0103",7,0,0,2020-04-03 00:00:00
"0103",10,0,0,2020-04-04 00:00:00
"0103",11,0,0,2020-04-05 00:00:00
"0103",11,0,0,2020-04-06 00:00:00
"0103",12,0,0,2020-04-07 00:00:00
"0103",13,0,0,2020-04-08 00:00:00
"0103",12,0,0,2020-04-09 00:00:00
"0103",13,0,0,2020-04-10 00:00:00
"0103",13,0,0,2020-04-11 00:00:00
"0104",8,0,0,2020-03-28 00:00:00
"0104",10,0,0,2020-03-29 00:00:00
"0104",12,0,0,2020-03-30 00:00:00
"0104",12,0,0,2020-03-31 00:00:00
"0104",14,0,0,2020-04-01 00:00:00
"0104",14,0,0,2020-04-02 00:00:00
"0104",14,0,0,2020-04-03 00:00:00
"0104",15,0,0,2020-04-04 00:00:00
"0104",15,0,0,2020-04-05 00:00:00
"0104",16,0,0,2020-04-06 00:00:00
"0104",17,0,0,2020-04-07 00:00:00
"0104",17,0,0,2020-04-08 00:00:00
"0104",23,0,0,2020-04-09 00:00:00
"0104",23,0,0,2020-04-10 00:00:00
"0104",25,0,0,2020-04-11 00:00:00
"0105",6,0,0,2020-03-24 00:00:00
"0105",6,0,0,2020-03-25 00:00:00
"0105",46,0,0,2020-03-26 00:00:00
"0105",55,0,0,2020-03-27 00:00:00
"0105",62,0,0,2020-03-28 00:00:00
"0105",95,0,0,2020-03-29 00:00:00
"0105",95,0,0,2020-03-30 00:00:00
"0105",70,0,0,2020-03-31 00:00:00
"0105",87,0,0,2020-04-01 00:00:00
"0105",127,0,0,2020-04-02 00:00:00
"0105",130,0,0,2020-04-03 00:00:00
"0105",140,0,0,2020-04-04 00:00:00
"0105",141,0,0,2020-04-05 00:00:00
"0105",142,0,0,2020-04-06 00:00:00
"0105",151,0,0,2020-04-07 00:00:00
"0105",152,0,0,2020-04-08 00:00:00
"0105",153,0,0,2020-04-09 00:00:00
"0105",158,0,0,2020-04-10 00:00:00
"0105",160,0,0,2020-04-11 00:00:00
"0106",3,0,0,2020-04-03 00:00:00
"0106",3,0,0,2020-04-04 00:00:00
"0106",4,0,0,2020-04-05 00:00:00
"0106",5,0,0,2020-04-06 00:00:00
"0106",5,0,0,2020-04-07 00:00:00
"0106",5,0,0,2020-04-08 00:00:00
"0106",5,0,0,2020-04-09 00:00:00
