OBJECTID,CasosConfirmados0904
1,4
2,7
3,21
4,
5,6
6,
7,5
8,
9,4
10,
11,
12,
13,
14,6
15,
16,5
17,8
18,
19,3
20,6
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,3
32,30
33,
34,
35,52
36,50
37,
38,3
39,7
40,7
41,
42,11
43,
44,
45,
46,
47,138
48,5
49,9
50,
51,6
52,
53,22
54,
55,129
56,30
57,21
58,12
59,4
60,32
61,3
62,
63,23
64,
65,
66,
67,153
68,
69,
70,7
71,122
72,
73,56
74,4
75,5
76,
77,25
78,3
79,
80,
81,521
82,76
83,4
84,3
85,4
86,8
87,
88,26
89,5
90,6
91,18
92,226
93,
94,
95,5
96,
97,59
98,
99,
100,6
101,8
102,
103,15
104,5
105,258
106,38
107,
108,16
109,5
110,
111,
112,
113,
114,39
115,21
116,39
117,
118,21
119,16
120,42
121,118
122,
123,
124,12
125,3
126,4
127,
128,
129,
130,
131,
132,5
133,
134,587
135,11
136,3
137,14
138,161
139,
140,83
141,3
142,3
143,10
144,29
145,797
146,41
147,158
148,5
149,7
150,98
151,
152,16
153,49
154,512
155,11
156,
157,39
158,11
159,
160,444
161,10
162,
163,14
164,
165,
166,
167,8
168,3
169,13
170,
171,5
172,40
173,11
174,
175,
176,
177,
178,
179,14
180,27
181,
182,
183,
184,
185,
186,6
187,
188,12
189,
190,
191,
192,112
193,152
194,
195,9
196,99
197,8
198,14
199,3
200,21
201,
202,275
203,130
204,14
205,
206,126
207,6
208,
209,8
210,72
211,
212,
213,
214,
215,7
216,10
217,8
218,31
219,3
220,16
221,
222,
223,
224,16
225,776
226,3
227,25
228,33
229,
230,
231,8
232,53
233,
234,8
235,3
236,
237,5
238,
239,246
240,
241,46
242,8
243,107
244,
245,36
246,
247,7
248,
249,5
250,5
251,116
252,
253,6
254,
255,16
256,44
257,5
258,15
259,4
260,334
261,
262,10
263,
264,3
265,
266,
267,
268,6
269,8
270,7
271,19
272,7
273,28
274,10
275,66
276,9
277,44
278,6
279,429
280,5
281,
282,
283,82
284,
285,13
286,
287,
288,55
289,5
290,48
291,
292,3
293,168
294,69
295,631
296,
297,3
298,3
299,131
300,13
301,
302,57
303,
304,7
305,10
306,55
307,19
308,
309,
310,
311,
312,
313,
314,
