OBJECTID,CasosConfirmados0104
1,5
2,7
3,20
4,
5,5
6,
7,4
8,
9,4
10,
11,
12,
13,
14,6
15,
16,4
17,5
18,
19,3
20,5
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,19
33,
34,
35,32
36,31
37,
38,
39,3
40,5
41,
42,5
43,
44,
45,
46,
47,79
48,
49,8
50,
51,3
52,
53,5
54,
55,68
56,9
57,13
58,5
59,
60,11
61,
62,
63,14
64,
65,
66,
67,87
68,
69,
70,4
71,55
72,
73,38
74,
75,
76,
77,10
78,
79,
80,
81,245
82,49
83,
84,
85,
86,3
87,
88,15
89,3
90,
91,
92,134
93,
94,
95,
96,
97,4
98,
99,
100,
101,3
102,
103,11
104,4
105,164
106,20
107,
108,7
109,
110,
111,
112,
113,
114,26
115,10
116,26
117,
118,15
119,8
120,28
121,50
122,
123,
124,3
125,
126,
127,
128,
129,
130,
131,
132,3
133,
134,337
135,
136,3
137,3
138,89
139,
140,18
141,3
142,
143,6
144,18
145,546
146,25
147,101
148,
149,6
150,52
151,
152,7
153,35
154,328
155,
156,
157,20
158,8
159,
160,303
161,5
162,
163,5
164,
165,
166,
167,5
168,
169,11
170,
171,
172,29
173,5
174,
175,
176,
177,
178,
179,13
180,19
181,
182,3
183,
184,
185,
186,7
187,
188,7
189,
190,
191,
192,72
193,78
194,
195,5
196,67
197,6
198,10
199,
200,9
201,
202,194
203,47
204,11
205,
206,44
207,
208,
209,5
210,32
211,
212,
213,
214,
215,3
216,5
217,
218,36
219,
220,
221,
222,
223,
224,22
225,505
226,
227,17
228,21
229,
230,
231,5
232,36
233,
234,4
235,
236,
237,
238,
239,162
240,
241,28
242,6
243,48
244,
245,28
246,
247,3
248,
249,
250,
251,79
252,
253,
254,
255,10
256,31
257,
258,6
259,3
260,192
261,
262,8
263,
264,
265,
266,
267,3
268,
269,3
270,
271,
272,
273,13
274,3
275,35
276,5
277,23
278,3
279,233
280,3
281,
282,
283,34
284,
285,4
286,
287,
288,39
289,
290,26
291,
292,
293,99
294,
295,387
296,
297,3
298,3
299,124
300,9
301,
302,30
303,
304,4
305,
306,21
307,11
308,
309,
310,
311,
312,
313,
314,
